Date,ATR,CCI,MACD,MTM,ROC,RSI,open,low,high,close,chg,pct_chg
2015-04-03,78.1750,122.4768,156.3832,220.5390,8.4368,86.2026,4104.6720,4092.3830,4170.5580,4170.5380,45.7620,1.1094
2015-04-07,89.9330,150.4314,165.3993,288.3470,10.9462,90.2801,4213.8940,4197.0190,4260.4710,4260.0440,89.5060,2.1461
2015-04-08,99.9540,140.8846,173.4308,207.6250,10.3589,91.4863,4277.4500,4204.8260,4304.7800,4295.8030,35.7590,0.8394
2015-04-09,119.5550,124.1606,175.0614,210.9340,7.3029,80.2373,4316.9580,4212.6110,4332.1660,4262.1380,-33.6650,-0.7837
2015-04-10,120.4910,128.3356,180.9074,220.5210,9.3472,85.4752,4249.3830,4231.1960,4351.6870,4344.4160,82.2780,1.9304
2015-04-13,87.6080,149.5901,189.5410,296.2970,12.1982,88.7953,4394.0470,4361.5890,4432.0240,4421.0730,76.6570,1.7645
2015-04-14,88.4450,133.4321,195.5102,267.6460,12.3591,89.4418,4432.1260,4385.9080,4474.3530,4438.1840,17.1110,0.3870
2015-04-15,96.3880,104.9378,193.3584,120.4690,10.2932,72.5194,4439.3140,4379.6090,4475.9970,4380.5130,-57.6710,-1.2994
2015-04-16,178.1350,111.7668,200.0813,217.7430,10.4048,81.9649,4355.4910,4335.6300,4513.7650,4513.5460,133.0330,3.0369
2015-04-17,116.7240,156.9730,209.6568,333.9980,13.4511,85.6415,4578.6790,4553.9040,4630.2700,4596.1360,82.5900,1.8298
2015-04-20,178.5680,118.5813,208.8493,177.5030,9.6517,70.2076,4615.0340,4492.6000,4671.1680,4521.9190,-74.2170,-1.6148
2015-04-21,115.5000,108.7495,213.5940,198.0910,11.9858,76.7856,4520.4610,4504.5580,4620.0580,4619.1640,97.2450,2.1505
2015-04-22,121.7690,144.6917,224.5017,301.6300,13.6499,82.5288,4637.0550,4632.5890,4740.9330,4739.8140,120.6500,2.6119
2015-04-23,88.0770,139.1068,230.5752,360.3790,11.2874,82.5750,4764.4810,4693.9670,4782.0440,4740.8920,1.0780,0.0227
2015-04-24,122.5740,96.1396,229.6547,189.0950,9.4706,74.2149,4682.6260,4618.3180,4730.4300,4702.6410,-38.2510,-0.8068
2015-04-27,107.8440,120.2484,234.6885,211.4560,12.7977,80.6613,4753.8710,4735.3100,4810.4850,4807.5920,104.9510,2.2317
